,CIK,Company_Name,Filing,Date,Hedge_Positive,Hedge_FalsePositive
0,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2002-08-26,1,
1,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2002-08-26,1,
2,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2011-09-23,1,
3,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2011-12-22,1,
4,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2012-03-26,1,
5,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2012-07-19,1,
6,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2012-09-25,1,
7,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2012-12-21,1,
8,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2013-03-22,1,
9,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2013-07-26,1,
10,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2013-09-25,1,
11,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2013-12-20,1,
12,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2014-03-25,1,
13,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2014-07-17,1,
14,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2014-09-24,1,
15,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2014-12-19,1,
16,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2015-03-31,1,
17,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2015-07-15,1,
18,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2015-09-25,1,
19,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2015-12-18,1,
20,1750,AAR CORP (AIR) (CIK 0000001750),10-Q,2016-03-23,1,
21,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2016-07-13,1,
22,1750,AAR CORP (AIR) (CIK 0000001750),10-K,2017-07-12,1,
23,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-K,2002-01-16,1,
24,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-K,2002-01-16,1,
25,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2008-06-09,1,
26,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2008-09-05,1,
27,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-K,2008-12-22,1,
28,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2009-03-04,1,
29,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2009-06-04,1,
30,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2009-09-02,1,
31,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2010-02-09,1,
32,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2010-05-06,1,
33,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2010-08-05,1,
34,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-K,2010-11-23,1,
35,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2005-05-13,1,
36,319126,AFP IMAGING CORP (CIK 0000319126),10-K,2005-09-27,1,
37,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2005-11-14,1,
38,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2006-02-14,1,
39,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2006-05-15,1,
40,319126,AFP IMAGING CORP (CIK 0000319126),10-K,2006-09-15,1,
41,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2006-11-14,1,
42,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2007-02-12,1,
43,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2007-05-15,1,
44,319126,AFP IMAGING CORP (CIK 0000319126),10-K,2007-10-12,1,
45,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2007-11-14,1,
46,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2008-02-14,1,
47,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2008-05-15,1,
